asesor_codigo,numero,cliente_razon_social,trabajo,cantidad,COTIZACION::total,fecha_ingreso,fecha_entrega,linea_negocio,estado_orden,factura_cantidad_nuevo,factura_subtotal_nuevo
MC,23915,TERAN ANDRADE FREDDY DAVID,REIMPRESÍON LIBRO BIOLOGÍA 2 en acciÓn,200,1588,13/08/2025 0:00,20/08/2025 0:00,PUBLICOMERCIAL,FACTURADO,200,1588
MC,23919,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 8,2000,3040,14/08/2025 0:00,22/08/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,23920,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 9,2000,3040,14/08/2025 0:00,22/08/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,23921,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 10,2000,3040,14/08/2025 0:00,22/08/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,23924,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN AGENDA KAPITO - PORTADA NUEVA y PLIEGO NUEVO,3000,3567,15/08/2025 0:00,26/08/2025 0:00,PUBLICOMERCIAL,FACTURADO,3000,3567
MC,23929,SANCHEZ CARRASCO PAUL VICENTE,LIBROS ARTE VIVO 8 ALUMNO Y DOCENTE,2000,3200,19/08/2025 0:00,26/08/2025 0:00,EDITORIAL,FACTURADO,2000,3200
MC,23930,SANCHEZ CARRASCO PAUL VICENTE,LIBROS ARTE VIVO 10 ALUMNO Y DOCENTE,2000,3200,19/08/2025 0:00,26/08/2025 0:00,EDITORIAL,FACTURADO,2000,3200
MC,23931,TERAN ANDRADE FREDDY DAVID,REIMPRESIÍON LIBRO BIOLOGÍA en accion 1,150,1195,19/08/2025 0:00,27/08/2025 0:00,PUBLICOMERCIAL,FACTURADO,150,1195
MC,23933,SANCHEZ CARRASCO PAUL VICENTE,LIBROS ARTE VIVO 9 ALUMNO Y DOCENTE,2000,3200,20/08/2025 0:00,26/08/2025 0:00,EDITORIAL,FACTURADO,2000,3200
MC,23934,YUNNY RIVERA CUSME,REIMPRESIÓN LIBRO I KNOW KIDS 4 - ANILLADO,2000,4000,21/08/2025 0:00,28/08/2025 0:00,PUBLICOMERCIAL,FACTURADO,2000,4000
MC,23945,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBRO CORAZON LITERARIO 1ro,1000,2200,27/08/2025 0:00,01/09/2025 0:00,EDITORIAL,FACTURADO,1000,2200
MC,23952,SANCHEZ CARRASCO PAUL VICENTE,reimpresión LIBRO CORAZON LITERARIO 2DO,1000,1950,28/08/2025 0:00,03/09/2025 0:00,EDITORIAL,FACTURADO,1000,1950
MC,23953,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBROS CORAZON LITERARIO 3RO,1000,2100,28/08/2025 0:00,03/09/2025 0:00,EDITORIAL,FACTURADO,1000,2100
MC,23955,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 3,2000,3040,01/09/2025 0:00,05/09/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,23956,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 4,2000,3040,01/09/2025 0:00,05/09/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,23957,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 5,2000,3040,01/09/2025 0:00,05/09/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,23958,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 6,2000,3040,01/09/2025 0:00,05/09/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,23959,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 7,2000,3040,01/09/2025 0:00,05/09/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,23987,YUNNY RIVERA CUSME,REIMPRESIÓN LIBRO CALIGRAFITOS PLUS 4 EGB,2000,3480,09/09/2025 0:00,12/09/2025 0:00,EDITORIAL,FACTURADO,2000,3480
MC,23992,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 2,2000,3040,10/09/2025 0:00,17/09/2025 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24001,MIRIAN SUSANA CARRERA,reimpresion GUIA DE USUARIO ALARMA,1500,504,15/09/2025 0:00,19/09/2025 0:00,PUBLICOMERCIAL,FACTURADO,1500,504
MC,24002,YUNNY RIVERA CUSME,LIBROS CIUDADANIA 1 - 2 PORTADAS,1500,3420,16/09/2025 0:00,19/09/2025 0:00,EDITORIAL,FACTURADO,1500,3420
MC,24007,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBRO CORAZÓN DE TIZA 8,1000,1700,17/09/2025 0:00,23/09/2025 0:00,EDITORIAL,FACTURADO,1000,1700
MC,24008,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO sueños de mar y sol - inicial 2,2500,16076,17/09/2025 0:00,26/09/2025 0:00,PUBLICOMERCIAL,FACTURADO,2500,16076
MC,24022,TRAMA DISENO,"Revista DOSSIER PAISAJISMO
",250,1352,23/09/2025 0:00,26/09/2025 0:00,PUBLICOMERCIAL,FACTURADO,250,1352
MC,24023,TRAMA DISENO,"Revista Trama 190
",250,1699,23/09/2025 0:00,26/09/2025 0:00,PUBLICOMERCIAL,FACTURADO,250,1699
MC,24027,TRAMA DISENO,LIBRO CACAO Y CHOCOLATE PASTA DURA,250,2430,25/09/2025 0:00,02/10/2025 0:00,EDITORIAL,FACTURADO,250,2430
MC,24094,YUNNY RIVERA CUSME,CUADERNO PASTA DURA 2026,2000,4600,30/10/2025 0:00,13/11/2025 0:00,EDITORIAL,FACTURADO,2000,4600
MC,24039,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBRO CORAZÓN DE TIZA 9,1000,1700,06/10/2025 0:00,13/10/2025 0:00,EDITORIAL,FACTURADO,1000,1700
MC,24028,TIPAN UMATAMBO SEGUNDO MARCO,CUADERNOS PASTA DURA,1500,2955,01/10/2025 0:00,13/10/2025 0:00,PUBLICOMERCIAL,FACTURADO,1500,2955
MC,24056,TANIA VILLEGAS,FOLLETOS GRAPADO - 32pg,1000,1199,15/10/2025 0:00,20/10/2025 0:00,PUBLICOMERCIAL,FACTURADO,1000,1199
MC,24045,TIPAN UMATAMBO SEGUNDO MARCO,BLOCK DE NOTAS,1000,740.55,07/10/2025 0:00,15/10/2025 0:00,PUBLICOMERCIAL,FACTURADO,1000,740.55
MC,24063,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBROS civica 8,300,1187,20/10/2025 0:00,27/10/2025 0:00,EDITORIAL,FACTURADO,300,1187
MC,24049,MIRIAN SUSANA CARRERA,reimpresion GUIA DE USUARIO ALARMA,1500,504,13/10/2025 0:00,15/10/2025 0:00,PUBLICOMERCIAL,FACTURADO,1500,504
MC,24072,STUDIO593 EDITORIAL Y COMUNICACIÓN S.A.S,LIBRO SUMAK WARMI,300,2785,22/10/2025 0:00,05/11/2025 0:00,EDITORIAL,FACTURADO,300,2785
MC,24111,TRAMA DISENO,Libro 100 casas latinoamericanas,700,10348.1,11/11/2025 0:00,03/12/2025 0:00,EDITORIAL,FACTURADO,700,10348.1
MC,24144,TRAMA DISENO,"Revista Trama 191
",250,1850,26/11/2025 0:00,04/12/2025 0:00,PUBLICOMERCIAL,FACTURADO,250,1850
MC,24145,TRAMA DISENO,"Revista DOSSIER RESTAURANTES
",250,1299,26/11/2025 0:00,04/12/2025 0:00,PUBLICOMERCIAL,FACTURADO,250,1299
MC,24163,CARRERA MIRIAN SUSANA,AGENDAS CUADERNO,1000,3950,11/12/2025 0:00,22/12/2025 0:00,PUBLICOMERCIAL,FACTURADO,1000,3950
ASS,24281,EMPRESA OPERADORA METRO DE MEDELLIN TRANSDEV EOMMT S.A.S.,CARTILLAS,50,725,02/03/2026 0:00,02/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,50,725
BV,24282,HOLGUINCORP S.A.S,REIMPRESIÓN LIBROS ESTUDIOS SOCIALES 9 EGB,1000,3150.001,02/03/2026 0:00,05/03/2026 0:00,EDITORIAL,FACTURADO,1000,3150.001
CTAG,24283,FEDERACION DE CHOFERES,REIMPRESIÓN LEY ORGÁNICA TRANSPORTE,1500,1889.998045,02/03/2026 0:00,18/03/2026 0:00,EDITORIAL,DESPACHOS - ENTREGA TOTAL,,
MC,24284,FLORES RUIZ JULIO OSWALDO,FOLLETO REENCONTRARTE 2026,500,434.7785,03/03/2026 0:00,05/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,500,434.7785
CTAG,24285,AMC ECUADOR CIA.LTDA.,reimpresión PLIEGOS NINA FLOWERS 60X90,99610,1673.448,03/03/2026 0:00,10/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,99610,1673.448
CTAG,24286,AMC ECUADOR CIA.LTDA.,REIMPRESIÓN PLIEGOS KNL FLORES 60X90,99682,1674.6576,03/03/2026 0:00,09/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,99682,1674.6576
BV,24287,NATURES SUNSHINE PRODUCTS DEL ECUADOR S.A.,TICKETS bebidas soft,750,72,03/03/2026 0:00,04/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,750,72
BV,24288,NATURES SUNSHINE PRODUCTS DEL ECUADOR S.A.,BANDERA,1,16.952181,04/03/2026 0:00,04/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,1,16.952181
ASS,24289,OTECEL S.A.,VOLANTES MOVISTAR marzo,126000,2268,04/03/2026 0:00,06/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,126000,0
MC,24290,YUNNY RIVERA CUSME,LIBRO FORMACIÓN Y ORIENTACIÓN LABORAL,1500,3194.997,05/03/2026 0:00,11/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,1500,3194.997
ASS,24291,AGLOMERADOS COTOPAXI S.A,CAJA PASTA DURA - SUPERFICIES PREMIUM,400,3940.0016,05/03/2026 0:00,27/03/2026 0:00,CAJAS PASTA DURA,FACTURADO,400,3940.0016
MC,24292,YUNNY RIVERA CUSME,REIMPRESIÓN LIBRO “I KNOW 1” LITTLE ONES,2500,3274.9975,06/03/2026 0:00,13/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,2500,3274.9975
BV,24293,ANDRANGO PINEIDA JOFFRE EFRAIN,LIBROS ROBOSTEAM 8vo,2000,4612.802,06/03/2026 0:00,12/03/2026 0:00,EDITORIAL,FACTURADO,2000,4612.802
BV,24294,ANDRANGO PINEIDA JOFFRE EFRAIN,LIBROS ROBOSTEAM 9no,2000,4612.802,06/03/2026 0:00,12/03/2026 0:00,EDITORIAL,FACTURADO,2000,4612.802
BV,24295,ANDRANGO PINEIDA JOFFRE EFRAIN,LIBROS ROBOSTEAM 10mo,2000,4899.804,06/03/2026 0:00,12/03/2026 0:00,EDITORIAL,FACTURADO,2000,4899.804
BV,24296,ANDRANGO PINEIDA JOFFRE EFRAIN,REIMPRESIÓN LIBROS ROBOSTEAM Bgu 2 ,1000,2240.001,06/03/2026 0:00,17/03/2026 0:00,EDITORIAL,FACTURADO,1000,2240.001
BV,24297,ANDRANGO PINEIDA JOFFRE EFRAIN,LIBROS ROBOSTEAM Bgu 1,1000,2399.997,06/03/2026 0:00,17/03/2026 0:00,EDITORIAL,FACTURADO,1000,2399.997
BV,24298,ANDRANGO PINEIDA JOFFRE EFRAIN,LIBROS ROBOSTEAM Bgu 3,500,1980.002,06/03/2026 0:00,17/03/2026 0:00,EDITORIAL,FACTURADO,500,1980.002
MC,24299,AGILA VARGAS NANCY MARLENE,REVISTA MODUS VIVENDI,80,870.00272,06/03/2026 0:00,11/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,80,870.00272
MC,24300,YUNNY RIVERA CUSME,LIBRO I KNOW PLUS 4 EGB alumno y docente,2500,4250.005,09/03/2026 0:00,13/03/2026 0:00,EDITORIAL,FACTURADO,2500,4250.005
MC,24301,YUNNY RIVERA CUSME,LIBRO I KNOW PLUS 5 EGB alumno y docente,2500,4250.005,09/03/2026 0:00,11/03/2026 0:00,EDITORIAL,FACTURADO,2500,4250.005
MC,24302,YUNNY RIVERA CUSME,LIBRO I KNOW PLUS 7 EGB alumno y docente,2500,4250.005,09/03/2026 0:00,16/03/2026 0:00,EDITORIAL,FACTURADO,2500,4250.005
BV,24303,ANDRANGO PINEIDA JOFFRE EFRAIN,INVITACIONES MEGA EXPO ROBOTICLAB,100,190.0043,09/03/2026 0:00,10/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,100,190.0043
BV,24304,HOLGUINCORP S.A.S,BROCHURE COLECTUM,1000,672.001,09/03/2026 0:00,12/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,1000,672.001
ASS,24305,AGLOMERADOS COTOPAXI S.A,ETIQUETA PARA TABLILLA - 4 modelos,1600,949.9984,09/03/2026 0:00,18/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,1600,949.9984
BV,24306,RIJABAL S.A.,LIBROS EMPRENDIMIENTO Y GESTIÓN 2 BGU,700,2765.0014,09/03/2026 0:00,12/03/2026 0:00,EDITORIAL,FACTURADO,700,2765.0014
BV,24307,RIJABAL S.A.,LIBROS EMPRENDIMIENTO Y GESTIÓN 3 BGU,700,2086.0014,09/03/2026 0:00,12/03/2026 0:00,EDITORIAL,FACTURADO,700,2086.0014
CTAG,24308,ALISERVIS S.A.,REIMPRESIÓN ETIQUETA MEDIUM - GARDEN SALAD,5000,575.005,10/03/2026 0:00,16/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,5000,575.005
CTAG,24309,ECUAEMPAQUES,"placas adicionales, tiempo maquina y pruebas",1,548,11/03/2026 0:00,11/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,1,548
CTAG,24310,BANCO GENERAL RUMIÑAHUI S.A.,MEMORIA DE SOSTENIBILIDAD 2025,40,1599.9958,11/03/2026 0:00,16/03/2026 0:00,EDITORIAL,FACTURADO,40,1599.9958
MC,24311,YUNNY RIVERA CUSME,REIMPRESIÓN LIBRO CALIGRAFITOS PLUS 3 EGB,2000,3300,11/03/2026 0:00,17/03/2026 0:00,EDITORIAL,FACTURADO,2000,3300
MC,24312,YUNNY RIVERA CUSME,REIMPRESIÓN LIBRO CALIGRAFITOS PLUS 5 EGB,2000,3300,11/03/2026 0:00,17/03/2026 0:00,EDITORIAL,FACTURADO,2000,3300
MC,24313,YUNNY RIVERA CUSME,reimpresión LIBROS caligrafitos 9,1500,2625.0015,11/03/2026 0:00,17/03/2026 0:00,EDITORIAL,FACTURADO,1500,2625.0015
MC,24314,YUNNY RIVERA CUSME,reimpresión LIBROS caligrafitos 10,1500,2625.0015,11/03/2026 0:00,17/03/2026 0:00,EDITORIAL,FACTURADO,1500,2625.0015
BV,24315,GLOBAL ESTHETIC,arañas lonas SIN estructura,3,37.9999998,12/03/2026 0:00,13/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,3,37.9999998
MC,24316,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 2,2000,3040,12/03/2026 0:00,20/03/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24317,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 3,2000,3040,12/03/2026 0:00,27/03/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24318,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 4,2000,3040,12/03/2026 0:00,27/03/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24319,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 5,2000,3040,12/03/2026 0:00,27/03/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24320,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 6,2000,3040,12/03/2026 0:00,27/03/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24321,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN LIBRO AVENTURAS DEL ARTE 7,2000,3040,12/03/2026 0:00,27/03/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24322,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN libro aventuras del arte 8,2000,3040,12/03/2026 0:00,01/04/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24323,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN libro aventuras del arte 9,2000,3040,12/03/2026 0:00,23/04/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24324,TIPAN UMATAMBO SEGUNDO MARCO,REIMPRESIÓN libro aventuras del arte 10,2000,3040,12/03/2026 0:00,23/04/2026 0:00,EDITORIAL,FACTURADO,2000,3040
MC,24325,TRAMA DISENO,REIMPRESIÓN LIBRO CACAO Y CHOCOLATE PASTA DURA,300,2335.0008,13/03/2026 0:00,24/03/2026 0:00,EDITORIAL,FACTURADO,300,2335.0008
CTAG,24326,BANCO MUNDIAL,PUBLICACION BANCO MUNDIAL - PAPEL COUCHE,200,2349.9972,13/03/2026 0:00,16/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,200,2349.9972
BV,24327,UMCO S.A.,reimpresimón SEPARADOR 64x45,7000,613.907,16/03/2026 0:00,19/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,7000,613.907
BV,24328,LANSEY S.A.,COLLARINES,30000,865.02,18/03/2026 0:00,23/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,30000,865.02
BV,24329,HOLGUINCORP S.A.S,BROCHURE,1000,862.003,19/03/2026 0:00,26/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,1000,862.003
BV,24330,HOLGUINCORP S.A.S,Catálogo 2026,1000,906.004,19/03/2026 0:00,26/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,1000,906.004
MC,24331,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBRO CORAZÓN DE TIZA 3,1000,1699.999,19/03/2026 0:00,31/03/2026 0:00,EDITORIAL,FACTURADO,1000,1699.999
MC,24332,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBRO CORAZÓN DE TIZA 6,1000,1699.996,19/03/2026 0:00,31/03/2026 0:00,EDITORIAL,FACTURADO,1000,1699.996
MC,24333,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBRO CORAZÓN DE TIZA 7,1000,1699.996,19/03/2026 0:00,31/03/2026 0:00,EDITORIAL,FACTURADO,1000,1699.996
MC,24334,SANCHEZ CARRASCO PAUL VICENTE,REIMPRESIÓN LIBRO CORAZÓN DE TIZA 10,1000,1699.996,19/03/2026 0:00,31/03/2026 0:00,EDITORIAL,FACTURADO,1000,1699.996
BV,24335,ANDRANGO PINEIDA JOFFRE EFRAIN,PREPARATORIA,1000,3100.004,20/03/2026 0:00,25/03/2026 0:00,EDITORIAL,FACTURADO,1000,3100.004
BV,24336,RIJABAL S.A.,LIBROS EMPRENDIMIENTO Y GESTIÓN 1,1400,2859.997,20/03/2026 0:00,26/03/2026 0:00,EDITORIAL,FACTURADO,1400,2859.997
BV,24337,HOLGUINCORP S.A.S,LIBRO ESTUDIO SOCIALES 8 EGB,1000,3709.996,20/03/2026 0:00,26/03/2026 0:00,EDITORIAL,FACTURADO,1000,3709.996
BV,24338,HOLGUINCORP S.A.S,LIBRO HISTORIA 2 BGU,1000,3289.996,20/03/2026 0:00,26/03/2026 0:00,EDITORIAL,FACTURADO,1000,3289.996
BV,24339,HOLGUINCORP S.A.S,LIBRO CIENCIAS NATURALES 8 EGB,1000,3669.999,20/03/2026 0:00,26/03/2026 0:00,EDITORIAL,FACTURADO,1000,3669.999
BV,24340,HOLGUINCORP S.A.S,LIBRO CIENCIAS NATURALES 9 EGB,1000,3669.999,20/03/2026 0:00,02/04/2026 0:00,EDITORIAL,FACTURADO,1000,3669.999
BV,24341,HOLGUINCORP S.A.S,LIBRO ESTUDIOS SOCIALES 10 EGB,1000,3939.999,20/03/2026 0:00,17/04/2026 0:00,EDITORIAL,FACTURADO,1000,3939.999
BV,24342,HOLGUINCORP S.A.S,LIBRO CIENCIAS NATURALES 10 EGB,1000,3820.001,20/03/2026 0:00,10/04/2026 0:00,EDITORIAL,FACTURADO,1000,3820.001
BV,24343,HOLGUINCORP S.A.S,LIBRO LENGUA Y LITERATURA 3 EGB,1000,3669.999,20/03/2026 0:00,10/04/2026 0:00,EDITORIAL,FACTURADO,1000,3669.999
BV,24344,HOLGUINCORP S.A.S,LIBRO LENGUA Y LITERATURA 6 EGB,1000,3669.999,20/03/2026 0:00,10/04/2026 0:00,EDITORIAL,FACTURADO,1000,3669.999
BV,24345,HOLGUINCORP S.A.S,LIBRO LENGUA Y LITERATURA 8 EGB,1000,3939.999,20/03/2026 0:00,10/04/2026 0:00,EDITORIAL,FACTURADO,1000,3939.999
BV,24346,HOLGUINCORP S.A.S,LIBRO HISTORIA 1 BGU,1000,3289.996,20/03/2026 0:00,17/04/2026 0:00,EDITORIAL,FACTURADO,1000,3289.996
BV,24347,HOLGUINCORP S.A.S,LIBRO LENGUA Y LITERATURA 2 BGU,1000,4000.003,20/03/2026 0:00,10/04/2026 0:00,EDITORIAL,FACTURADO,1000,4000.003
MC,24348,YUNNY RIVERA CUSME,LIBRO LENGUA Y LITERATURA 1 BGU,1500,3854.997,24/03/2026 0:00,06/04/2026 0:00,PUBLICOMERCIAL,FACTURADO,1500,3854.997
MC,24349,YUNNY RIVERA CUSME,LIBRO LENGUA Y LITERATURA 2 BGU,1500,3854.997,24/03/2026 0:00,06/04/2026 0:00,PUBLICOMERCIAL,FACTURADO,1500,3854.997
MC,24350,YUNNY RIVERA CUSME,LIBRO LENGUA Y LITERATURA 3 BGU,1500,3225.0045,24/03/2026 0:00,06/04/2026 0:00,PUBLICOMERCIAL,FACTURADO,1500,3225.0045
BV,24351,HOLGUINCORP S.A.S,LIBRO LA MARAVILLA DE LEER 5 EGB,1500,3075,24/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,1500,3075
BV,24352,HOLGUINCORP S.A.S,LIBRO LA MARAVILLA DE LEER 6 EGB,1500,3075,24/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,1500,3075
BV,24353,HOLGUINCORP S.A.S,LIBRO LA MARAVILLA DE LEER 7 EGB,1500,3075,24/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,1500,3075
BV,24354,HINODE ECUADOR CIA.LTDA.,CATÁLOGO HINODE - CLICLO 02 / 2026,700,1309.0042,24/03/2026 0:00,30/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,700,1309.0042
BV,24355,HOLGUINCORP S.A.S,LIBRO LA MARAVILLA DE LEER 3 EGB,1500,3075,25/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,1500,3075
BV,24356,HOLGUINCORP S.A.S,LIBRO LA MARAVILLA DE LEER 4 EGB,1500,3075,25/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,1500,3075
CTAG,24357,ALISERVIS S.A.,REIMPRESION VOLANTES PROMO ABRIL 2026 $10.49 PIZZA FAMILIA 1 INGREDIENTE - 5 MOTIVOS,499750,5247.375,25/03/2026 0:00,30/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,499750,5247.375
ASS,24358,EMPRESA OPERADORA METRO DE MEDELLIN TRANSDEV EOMMT S.A.S.,"CERTIFICADOS DE PARTICIPACIÓN - A4	",200,185.0022,26/03/2026 0:00,27/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,200,185.0022
ASS,24359,EMPRESA OPERADORA METRO DE MEDELLIN TRANSDEV EOMMT S.A.S.,Mural dibujos niños,200,174.9952,26/03/2026 0:00,27/03/2026 0:00,PUBLICOMERCIAL,FACTURADO,200,174.9952
CTAG,24360,DIDACTICA-EDITORIAL S.A.S.,REIMPRESION IMAGINA Y APRENDE 1 EGB PREPARATORIA,3000,15899.997,26/03/2026 0:00,16/04/2026 0:00,EDITORIAL,FACTURADO,3000,15899.997
CTAG,24361,RED DE INTEGRACION ECUATORIANA DE COOPERATIVAS DE AHORRO Y CREDITO,REVISTA,2000,1983.004,26/03/2026 0:00,01/04/2026 0:00,PUBLICOMERCIAL,FACTURADO,2000,1983.004
MC,24362,YUNNY RIVERA CUSME,REIMPRESION LIBRO BRING UP ENGLISH STUDENT`S BOOK 8 EGB,2000,3500.004,26/03/2026 0:00,06/04/2026 0:00,EDITORIAL,FACTURADO,2000,3500.004
MC,24363,YUNNY RIVERA CUSME,REIMPRESION LIBRO BRING UP ENGLISH STUDENT`S BOOK 10 EGB,2000,3500.004,26/03/2026 0:00,06/04/2026 0:00,EDITORIAL,FACTURADO,2000,3500.004
BV,24364,RIJABAL S.A.,LIBRO QUÍMICA 1,1700,5100.0051,27/03/2026 0:00,31/03/2026 0:00,EDITORIAL,FACTURADO,1700,5100.0051
BV,24365,HOLGUINCORP S.A.S,CREA Y APRENDE CON GUCHITO PRIMERO DE BÁSICA,1500,21749.9985,27/03/2026 0:00,29/04/2026 0:00,EDITORIAL,FACTURADO,1500,21749.9985
ASS,24366,OTECEL S.A.,CUADERNOS - ÍTEM TARIFARIO - CAYFO78,924,3883.563904,27/03/2026 0:00,08/04/2026 0:00,PUBLICOMERCIAL,DESPACHOS - ENTREGA TOTAL,,
CTAG,24367,ALISERVIS S.A.,VOLANTES DOMIWEEK 50% OFF,125490,1317.645,30/03/2026 0:00,02/04/2026 0:00,PUBLICOMERCIAL,FACTURADO,125490,1317.645
ASS,24368,SANTILLANA S.A.,BLOCK DE NOTAS A5 COMPARTIR,6300,1890,31/03/2026 0:00,02/04/2026 0:00,PUBLICOMERCIAL,FACTURADO,6300,1890
BV,24369,THATBOOK S.A.S. B.I.C.,LIBRO LUDO ARTE 2,2000,4199.998,31/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,2000,4199.998
BV,24370,THATBOOK S.A.S. B.I.C.,LIBRO LUDO ARTE 3,2000,4199.998,31/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,2000,4199.998
BV,24371,THATBOOK S.A.S. B.I.C.,LIBRO LUDO ARTE 4,2000,4199.998,31/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,2000,4199.998
BV,24372,THATBOOK S.A.S. B.I.C.,LIBRO LUDO ARTE 5,2000,4199.998,31/03/2026 0:00,08/04/2026 0:00,EDITORIAL,FACTURADO,2000,4199.998
CTAG,24373,MANOSALVAS MARTINEZ JANETH,REVISTA EDICIÓN 118 - ABRIL,850,450.0002,01/04/2026 0:00,10/04/2026 0:00,PUBLICOMERCIAL,FACTURADO,850,450.0002
CTAG,24374,MANOSALVAS MARTINEZ JANETH,FOLLETO,20,307.99604,01/04/2026 0:00,01/04/2026 0:00,PUBLICOMERCIAL,FACTURADO,20,307.99604
CTAG,24375,RECREAR REDIEDITORES CIA. LTDA.,LIBRO DISCOVER 5,2000,2880.002,01/04/2026 0:00,13/04/2026 0:00,EDITORIAL,FACTURADO,2000,2880.002
